id_pedido,data_pedido,id_cliente,canal,cidade,estado,categoria,produto,quantidade,preco_unitario,frete,status,data_entrega
PED-04850,2024-09-18,CLI-1240,app,Salvador,BA,Beleza,Kit Skincare Facial,2,,0.0,Cancelado,
PED-01286,03/12/2024,CLI-0335,site,Rio De Janeiro,RJ,Moda,Tênis Casual Masculino,2,,0.0,Entregue,16/12/2024
PED-03812,2023-05-24,CLI-1286,site,Recife,PE,Eletronicos,Webcam Full HD,3,,0.0,Entregue,2023-06-11
PED-01903,2024-11-03,CLI-1275,site,,SP,Beleza,Secador de Cabelo 2000W,1,268.03,15.84,Entregue,2024-11-07
PED-00763,2023-02-25,CLI-0695,marketplace,Rio De Janeiro,RJ,Beleza,Kit Skincare Facial,1,,17.2,Cancelado,
PED-04948,2024-09-23,CLI-0942,app,,SP,Beleza,Secador de Cabelo 2000W,4,191.96,0.0,Cancelado,
PED-04094,2023-07-10,CLI-0636,app,,SP,Beleza,Perfume Importado 100ml,2,417.78,0.0,Entregue,2023-07-14
PED-04068,22/07/2024,CLI-0261,app,Porto Alegre,RS,Eletronicos,Caixa de Som Portátil,2,,0.0,Entregue,03/08/2024
PED-00193,11/05/2023,CLI-0036,site,Salvador,BA,Beleza,Kit Skincare Facial,1,,27.8,Entregue,18/05/2023
PED-03341,2023-11-16,CLI-0305,site,Rio De Janeiro,RJ,Moda,"Mochila Notebook 15""",2,,0.0,Entregue,2023-11-30
PED-00534,2024-06-13,CLI-1358,app,Rio De Janeiro,RJ,Beleza,Base Líquida Matte,2,,16.01,Entregue,2024-06-21
PED-03749,2023-11-01,CLI-0154,site,Salvador,BA,Moda,"Mochila Notebook 15""",2,,0.0,Entregue,2023-11-16
PED-00158,26/06/2024,CLI-0164,app,Recife,PE,Beleza,Kit Skincare Facial,1,,28.59,Entregue,09/07/2024
PED-01862,29/12/2024,CLI-1362,marketplace,Fortaleza,CE,Moda,"Mochila Notebook 15""",4,,0.0,Entregue,07/01/2025
PED-04915,08/11/2023,CLI-1248,marketplace,Sao Paulo,SP,Moda,"Mochila Notebook 15""",1,,9.48,Entregue,18/11/2023
PED-00289,23/03/2024,CLI-0021,site,Salvador,BA,Casa & Decoracao,Jogo de Toalhas 4 peças,3,,0.0,Entregue,08/04/2024
PED-03076,2024-11-23,CLI-0691,marketplace,Rio De Janeiro,RJ,Esporte,Tapete de Yoga 6mm,1,,21.44,Entregue,2024-12-04
PED-01939,06/09/2023,CLI-1366,site,Sao Paulo,SP,Moda,Jaqueta Jeans,3,,0.0,Entregue,12/09/2023
PED-02731,2023-01-04,CLI-1082,marketplace,Fortaleza,CE,Casa & Decoracao,Quadro Decorativo Abstrato,4,,0.0,Entregue,2023-01-20
PED-01662,2024-06-12,CLI-0816,site,Campinas,SP,Eletronicos,Carregador Turbo 30W,2,,13.94,Entregue,2024-06-25
PED-01809,22/12/2023,CLI-1070,app,Fortaleza,CE,Eletronicos,Fone Bluetooth TWS,4,,0.0,Entregue,04/01/2024
