id_pedido,data_pedido,id_cliente,canal,cidade,estado,categoria,produto,quantidade,preco_unitario,frete,status,data_entrega
PED-01169,2024-10-17,CLI-0394,site,Salvador,BA,esporte,Corda de Pular Speed,1,67.34,"R$ 28,06",entregue,2024-10-28
PED-01204,2024-08-02,CLI-0315,app,Brasília,DF,Casa & Decoração,"Tapete Sala 1,5m",4,214.43,"R$ 0,00",entregue,2024-08-16
PED-01464,2023-11-06,CLI-0223,app,Curitiba,PR,Moda,Jaqueta Jeans,4,188.97,"R$ 0,00",entregue,2023-11-16
PED-04480,2024-12-19,CLI-1293,app,Curitiba,PR,Beleza,Secador de Cabelo 2000W,1,192.99,"R$ 20,40",entregue,2025-01-02
PED-03605,2024-12-04,CLI-0958,site,Porto Alegre,RS,Beleza,Secador de Cabelo 2000W,2,336.47,"R$ 0,00",entregue,2024-12-16
PED-03408,2023-09-11,CLI-0146,marketplace,Fortaleza,CE,Moda,Tênis Casual Masculino,3,160.08,"R$ 0,00",Entregue,2023-09-22
PED-04850,2024-09-18,CLI-1240,app,SALVADOR,,Beleza,Kit Skincare Facial,2,,"R$ 0,00",Cancelado,
PED-01092,2024-06-16,CLI-0357,marketplace,São Paulo,SP,Moda,Tênis Casual Masculino,1,379.68,"R$ 0,00",entregue,2024-06-26
PED-02409,11/11/2023,CLI-1248,site,belo horizonte,MG,Beleza,Perfume Importado 100ml,2,632.29,"R$ 0,00",entregue,25/11/2023
PED-01892,2024-09-07,CLI-1022,marketplace,  Curitiba ,PR,Moda,"Mochila Notebook 15""",4,262.37,"R$ 0,00",entregue,2024-09-15
PED-04371,2023-10-10,CLI-0354,app,Campinas,SP,Casa & Decoração,Quadro Decorativo Abstrato,2,148.41,"R$ 11,82",entregue,2023-10-15
PED-02571,19/01/2023,CLI-0989,app,São Paulo,SP,Moda,Camiseta Básica Algodão,4,44.67,"R$ 11,59",entregue,30/01/2023
PED-00529,2024-09-15,CLI-1144,app,Fortaleza,CE,Moda,Tênis Casual Masculino,2,307.54,"R$ 0,00",entregue,2024-09-24
PED-03195,2024-06-18,CLI-1260,site,BELO HORIZONTE,MG,Eletrônicos,Webcam Full HD,2,334.31,"R$ 0,00",entregue,2024-06-21
PED-00262,2024-10-20,CLI-0247,site,Recife,PE,Casa & Decoração,"Tapete Sala 1,5m",2,262.35,"R$ 0,00",devolvido,2024-10-29
PED-03423,2024-06-26,CLI-0068,marketplace,Porto Alegre,RS,Eletrônicos,Carregador Turbo 30W,1,88.06,"R$ 25,33",entregue,2024-07-03
PED-01232,2024-05-07,CLI-1365,site,São Paulo,SP,Esporte,Camiseta Dry Fit,3,119.71,"R$ 0,00",entregue,2024-05-18
PED-00058,26/04/2024,CLI-0063,marketplace,BRASÍLIA,DF,Eletrônicos,Smartwatch Fit,4,839.62,"R$ 0,00",devolvido,09/05/2024
PED-01095,08/05/2024,CLI-0891,site,Porto Alegre,RS,CASA & DECORAÇÃO,Luminária de Mesa LED,1,100.79,"R$ 18,75",entregue,24/05/2024
PED-04683,07/09/2024,CLI-0335,site,São Paulo,SP,Esporte,Garrafa Térmica 1L,2,127.37,"R$ 22,12",entregue,16/09/2024
PED-04972,21/03/2023,CLI-1328,marketplace,Rio de Janeiro,RJ,Beleza,Perfume Importado 100ml,4,566.74,"R$ 0,00",entregue,30/03/2023
PED-03208,2023-03-13,CLI-1143,site,Salvador,BA,Eletrônicos,Fone Bluetooth TWS,1,390.65,"R$ 0,00",entregue,2023-03-27
PED-00995,2024-11-29,CLI-0989,site,são paulo,SP,Moda,Jaqueta Jeans,3,226.15,"R$ 0,00",entregue,2024-12-06
PED-01039,13/01/2024,CLI-0354,app,  Recife ,PE,Esporte,Camiseta Dry Fit,3,71.11,"R$ 33,72",entregue,27/01/2024
PED-04209,21/01/2024,CLI-0969,site,Fortaleza,CE,Casa & Decoração,Vaso Decorativo Cerâmica,1,104.75,"R$ 35,48",entregue,29/01/2024
PED-01286,03/12/2024,CLI-0335,site,Rio de Janeiro,RJ,Moda,Tênis Casual Masculino,2,,"R$ 0,00",entregue,16/12/2024
PED-04917,2024-08-31,CLI-0858,marketplace,BRASÍLIA,DF,ELETRÔNICOS,Fone Bluetooth TWS,3,363.3,"R$ 0,00",entregue,2024-09-13
PED-04134,2024-03-13,CLI-0561,marketplace,Campinas,SP,Casa & Decoração,Vaso Decorativo Cerâmica,2,117.48,"R$ 16,58",entregue,2024-03-21
PED-01922,2023-10-24,CLI-0183,site,São Paulo,SP,Beleza,Base Líquida Matte,1,95.03,"R$ 13,84",ENTREGUE,2023-11-02
PED-04392,07/09/2024,CLI-1007,site,Ribeirao Preto,SP,Beleza,Base Líquida Matte,2,137.55,"R$ 15,00",entregue,17/09/2024
PED-04702,2024-01-17,CLI-0959,site,  Belo Horizonte ,MG,Moda,Tênis Casual Masculino,1,199.29,"R$ 16,64",entregue,2024-01-20
PED-04731,04/11/2023,CLI-1294,site,Ribeirão Preto,SP,Beleza,Base Líquida Matte,1,68.04,"R$ 14,42",entregue,08/11/2023
PED-00941,2023-09-23,CLI-0055,site,  Ribeirão Preto ,SP,Eletrônicos,Smartwatch Fit,1,489.04,"R$ 0,00",entregue,2023-09-29
PED-04128,2024-02-16,CLI-0937,site,Salvador,BA,CASA & DECORAÇÃO,"Tapete Sala 1,5m",1,231.69,"R$ 28,49",devolvido,2024-03-05
PED-04752,2024-03-28,CLI-0153,app,Curitiba,PR,Esporte,Garrafa Térmica 1L,1,64.39,"R$ 22,07",entregue,2024-04-15
PED-01029,2024-08-23,CLI-0647,site,São Paulo,SP,Casa & Decoração,Jogo de Toalhas 4 peças,1,201.24,"R$ 9,53",DEVOLVIDO,2024-08-30
PED-04837,24/03/2023,CLI-1215,site,Brasília,DF,Esporte,Garrafa Térmica 1L,4,135.48,"R$ 0,00",cancelado,
PED-03641,04/10/2023,CLI-0256,app,São Paulo,SP,Moda,Jaqueta Jeans,1,159.26,"R$ 15,51",entregue,13/10/2023
PED-00214,07/10/2024,CLI-1250,marketplace,Rio de Janeiro,RJ,Eletrônicos,Webcam Full HD,4,262.79,"R$ 0,00",cancelado,
PED-00570,2024-04-04,CLI-0042,app,Recife,PE,Eletrônicos,Fone Bluetooth TWS,2,155.09,"R$ 0,00",cancelado,
PED-02606,2023-05-30,CLI-1104,marketplace,Ribeirao Preto,SP,Esporte,Corda de Pular Speed,4,52.68,"R$ 11,08",entregue,2023-06-12
PED-00112,25/07/2023,CLI-0318,site,Salvador,BA,Casa & Decoração,Luminária de Mesa LED,1,175.95,"R$ 31,14",em transporte,
PED-03828,2023-11-10,CLI-0209,site,Curitiba,PR,Casa & Decoração,Quadro Decorativo Abstrato,2,178.17,"R$ 0,00",cancelado,
PED-01767,27/12/2024,CLI-0328,app,Porto Alegre,RS,Esporte,Camiseta Dry Fit,2,56.72,"R$ 24,50",entregue,09/01/2025
PED-04122,2024-10-03,CLI-1316,marketplace,Rio de Janeiro,RJ,Moda,Jaqueta Jeans,2,326.4,"R$ 0,00",entregue,2024-10-15
PED-02808,2024-08-17,CLI-0293,app,Porto Alegre,RS,Casa & Decoração,"Tapete Sala 1,5m",1,156.97,"R$ 27,45",entregue,2024-09-01
PED-00627,30/09/2024,CLI-1111,app,Goiânia,GO,Casa & Decoração,Quadro Decorativo Abstrato,1,83.76,"R$ 26,44",entregue,09/10/2024
PED-00535,2023-01-13,CLI-0365,app,São Paulo,SP,Moda,"Mochila Notebook 15""",1,189.54,"R$ 13,69",entregue,2023-01-26
